FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_5557	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5558	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	finlandica
OTU_5559	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	nigripycnidia
OTU_5560	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	versicolor
OTU_5561	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Atheliaceae_gen_Incertae_sedis	NA
OTU_5562	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	cucumerina
OTU_5563	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Microbotryomycetes_gen_Incertae_sedis	NA
OTU_5564	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Coleroa	circinans
OTU_5565	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	NA
OTU_5566	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5567	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5568	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	lanosum
OTU_5569	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	equina
OTU_5570	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	quercetorum
OTU_5571	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Cryptosporiopsis	NA
OTU_5572	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	atra
OTU_5573	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	periconioides
OTU_5574	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	periconioides
OTU_5575	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_5576	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5577	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	lanosum
OTU_5578	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_5579	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Stilbella	NA
OTU_5580	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_5581	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	NA	NA
OTU_5582	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	cinerascens
OTU_5583	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5584	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5585	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
OTU_5586	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Microbotryomycetes_gen_Incertae_sedis	NA
OTU_5587	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	equina
OTU_5588	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	finlandica
OTU_5589	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_5590	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	NA
OTU_5591	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	versicolor
OTU_5592	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_5593	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU_5594	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	NA	NA
OTU_5595	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	ericae
OTU_5596	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_5597	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_5598	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	periconioides
OTU_5599	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipitaceae_gen_Incertae_sedis	NA
OTU_5600	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Meliniomyces	NA
OTU_5601	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
